name,mainaddressline,postcode,areaname2,areaname1,annual_sales,geometry
CARREFOUR EXPRESS SAN BERNARDO 76,CALLE DEL DIVINO PASTOR 76,28004,MADRID,COMUNIDAD DE MADRID,14.723557703627112,POINT (-3.706055 40.428106)
CARREFOUR EXPRESS ARAVACA,AVENIDA DE LA OSA MAYOR 62,28023,MADRID,COMUNIDAD DE MADRID,18.5421392604204,POINT (-3.7826712 40.4591369)
CARREFOUR EXPRESS RAMIREZ DEL PRADO,CALLE DE JUAN DE MARIANA 8,28045,MADRID,COMUNIDAD DE MADRID,14.049264679874991,POINT (-3.686555 40.39912260000001)
CARREFOUR EXPRESS PASTORA IMPERIO. 1,CALLE PASTORA IMPERIO 1,28036,MADRID,COMUNIDAD DE MADRID,15.864545162157462,POINT (-3.6746499 40.4809536)
CARREFOUR EXPRESS BÉJAR,CALLE DE BÉJAR 1,28028,MADRID,COMUNIDAD DE MADRID,22.76601490481979,POINT (-3.674525700000001 40.4352217)
CARREFOUR EXPRESS SANTA ISABEL 28,CALLE DE SANTA ISABEL 28,28012,MADRID,COMUNIDAD DE MADRID,19.15717995421,POINT (-3.698384 40.410828)
CARREFOUR EXPRESS GENERAL MARTÍNEZ CAMPOS,PASEO DEL GENERAL MARTÍNEZ CAMPOS 24,28010,MADRID,COMUNIDAD DE MADRID,29.07894967227705,POINT (-3.6944655 40.4349275)
CARREFOUR EXPRESS CEPSA GLORIETA DEL YUCATÁN,GLORIETA YUCATÁN,28043,MADRID,COMUNIDAD DE MADRID,12.162754,POINT (-3.6272635 40.450771)
CARREFOUR EXPRESS PASEO DE LA HABANA,PASEO DE LA HABANA 137,28036,MADRID,COMUNIDAD DE MADRID,33.09779923184926,POINT (-3.680864 40.460763)
CARREFOUR EXPRESS JOSÉ ABASCAL,CALLE DE JOSÉ ABASCAL 61,28003,MADRID,COMUNIDAD DE MADRID,33.50932753038501,POINT (-3.6921312 40.4382716)
CARREFOUR EXPRESS MONTERA,CALLE DE LA MONTERA 32,28013,MADRID,COMUNIDAD DE MADRID,14.262512383765774,POINT (-3.702033 40.418796)
CARREFOUR EXPRESS LEÓN,CALLE DE LEÓN 4,28014,MADRID,COMUNIDAD DE MADRID,14.170851100262169,POINT (-3.698712 40.41443)
CARREFOUR EXPRESS AGASTIA 48,CALLE DE AGASTIA 48,28027,MADRID,COMUNIDAD DE MADRID,27.733739418156972,POINT (-3.6518433 40.4465615)
CARREFOUR EXPRESS EMBAJADORES,CALLE DE LA HUERTA DEL BAYO 50,28012,MADRID,COMUNIDAD DE MADRID,17.400187085272293,POINT (-3.704742 40.408282)
CARREFOUR EXPRESS MAYOR,CALLE MAYOR 46,28013,MADRID,COMUNIDAD DE MADRID,14.862276303048993,POINT (-3.709112 40.415966)
CARREFOUR EXPRESS NUÑEZ DE BALBOA,CALLE DE NÚÑEZ DE BALBOA 10,28001,MADRID,COMUNIDAD DE MADRID,24.580332579424105,POINT (-3.682884 40.422804)
CARREFOUR EXPRESS ERCILLA,CALLE DE ERCILLA 21,28005,MADRID,COMUNIDAD DE MADRID,16.630227469845746,POINT (-3.702442 40.402421)
